reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
R4,1,33,Device:R,36.83,343.535,90,,1:/ETH_TXD0; 2:Net-(U5-TXD0)
#PWR0124,1,+4.6V,power:+1V8,249.555,195.58,90,,1:None
#PWR04,1,GND,power:GND,27.94,180.975,0,,1:None
C89,1,100nF,Device:C,392.43,28.575,0,x,1:GND; 2:+3.3V
#PWR0188,1,GND,power:GND,330.835,147.32,0,,1:None
#PWR011,1,GND,power:GND,158.75,229.235,0,,1:None
C43,1,100nF,Device:C,169.545,64.135,0,y,1:+3.3V; 2:GND
#PWR054,1,GND,power:GND,95.885,386.715,0,,1:None
L2,1,10uH,Device:L,175.26,238.76,180,,1:Net-(U4-SWP2); 2:+4.5V
C4,1,100nF,Device:C,34.29,177.165,0,x,1:GND; 2:+4.5V
R61,1,33,Device:R,431.8,194.945,270,,1:Net-(U14-PI7); 2:/DCMI_D7
#FLG03,1,PWR_FLAG,power:PWR_FLAG,210.82,236.22,270,,1:None
#PWR08,1,GND,power:GND,152.4,229.235,0,,1:None
R53,1,10K,Device:R,379.73,369.57,0,,1:+3.3V; 2:/QUADSPI_NCS
C1,1,10uF,Device:C,27.94,139.065,0,x,1:GND; 2:+15
#PWR0194,1,+3.3V,power:+3.3V,345.44,389.255,0,,1:None
C86,1,100nF,Device:C,378.46,45.085,0,x,1:GND; 2:+3.3V
