reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
#FLG012,1,PWR_FLAG,power:PWR_FLAG,396.24,78.105,0,,1:None
#PWR067,1,+3.3V,power:+3.3V,114.3,304.8,0,,1:None
X1,1,X322525MOB4SI,Device:Crystal_GND24,66.675,386.715,0,,1:Net-(U5-XTAL1/CLKIN); 2:GND; 3:Net-(U5-XTAL2); 4:GND
#PWR0185,1,GND,power:GND,311.15,85.725,0,y,1:None
#PWR0206,1,GND,power:GND,392.43,48.895,0,y,1:None
#FLG010,1,PWR_FLAG,power:PWR_FLAG,109.22,254,270,,1:None
#PWR0168,1,GND,power:GND,282.575,328.295,270,,1:None
C121,1,100nF,Device:C,519.43,28.575,180,,1:GND; 2:+3.3V
#PWR0157,1,GND,power:GND,276.225,314.325,0,,1:None
R10,1,10K,Device:R,48.895,335.915,0,,1:+3.3V; 2:Net-(U5-RXD0/MODE0)
U2,1,TPS7A4701RGWR,Regulator_Linear:TPS7A4701xRGW,57.15,188.595,0,,1:+3.3V; 3:+3.3V; 4:unconnected-(U2-6.4V-Pad4); 5:unconnected-(U2-6.4V-Pad5); 6:unconnected-(U2-3.2V-Pad6); 7:GND; 8:GND; 9:unconnected-(U2-0.8V-Pad9); 10:unconnected-(U2-0.4V-Pad10); 11:GND; 12:GND; 13:+4.5V; 14:Net-(U2-NR); 15:+4.5V; 16:+4.5V; 20:+3.3V; 21:GND
C68,1,100nF,Device:C,254.635,59.055,0,y,1:+4.5V; 2:GND
#PWR0140,1,GND,power:GND,248.285,62.865,0,,1:None
#PWR0108,1,GNDA,power:GNDA,220.98,92.075,0,,1:None
#PWR050,1,GNDA,power:GNDA,93.345,60.325,270,,1:None
Q1,1,BSS138PW,Transistor_FET:BSS138,252.73,106.68,0,,1:Net-(Q1-G); 2:GND; 3:Net-(Q1-D)
#PWR038,1,GND,power:GND,74.93,394.335,0,,1:None
R37,1,1K,Device:R,247.65,102.87,0,,1:/CIS_LED_R; 2:Net-(Q1-G)
C2,1,10uF,Device:C,27.94,177.165,0,x,1:GND; 2:+4.5V
#PWR065,1,GND,power:GND,210.82,243.84,0,,1:None
C36,1,10uF,Device:C,114.3,321.945,180,,1:GND; 2:Net-(TR1-C_RD)
