reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
#PWR0166,1,GND,DVB_Power:GND,60.325,149.225,0,,1:None
#PWR0167,1,GND,DVB_Power:GND,67.945,118.11,90,,1:None
#PWR0122,1,GND,DVB_Power:GND,349.885,107.315,0,y,1:None
#PWR0168,1,GND,DVB_Power:GND,67.945,109.855,90,,1:None
#PWR0169,1,+3.3V,DVB_Power:+3.3V,60.325,83.185,0,,1:None
#PWR0124,1,GND,DVB_Power:GND,358.775,94.615,0,x,1:None
C11,1,C_0036,DVB_C:C_0036,60.325,145.415,0,,1:+12V; 2:GND
C16,1,C_0036,DVB_C:C_0036,64.135,118.11,90,,1:Net-(K1-VCOMH); 2:GND
C77,1,C_0063,DVB_C:C_0063,448.945,33.02,0,,1:+3.3V; 2:GND
C73,1,C_0063,DVB_C:C_0063,374.015,80.645,0,,1:Net-(U2-VFBSMPS); 2:GND
C74,1,C_0063,DVB_C:C_0063,380.365,80.645,0,,1:Net-(U2-VFBSMPS); 2:GND
#PWR0125,1,GND,DVB_Power:GND,420.37,50.165,0,x,1:None
C66,1,C_0063,DVB_C:C_0063,257.175,221.615,0,,1:+3.3V; 2:GND
#PWR0175,1,GND,DVB_Power:GND,173.355,113.665,0,,1:None
C30,1,C_0036,DVB_C:C_0036,115.57,193.675,0,,1:+12V; 2:GND
#PWR015,1,GND,DVB_Power:GND,366.395,174.625,90,,1:None
C1,1,C_0002,DVB_C:C_0002,417.195,33.02,0,y,1:+3.3V; 2:GND
C3,1,C_0002,DVB_C:C_0002,423.545,33.02,0,y,1:+3.3V; 2:GND
C32,1,C_0002,DVB_C:C_0002,429.895,33.02,0,y,1:+3.3V; 2:GND
C33,1,C_0002,DVB_C:C_0002,436.245,33.02,0,y,1:+3.3V; 2:GND
C34,1,C_0002,DVB_C:C_0002,442.595,33.02,0,y,1:+3.3V; 2:GND
U6,1,U_0097,DVB_U:U_0097,128.905,109.22,0,,1:+3.3V; 10:unconnected-(U6-B4-Pad10); 11:/CIS_CP_TTL; 12:/CIS_SP_TTL; 13:/CIS_RS_TTL; 14:AVDD; 2:/CIS_RS; 3:/CIS_SP; 4:/CIS_CP; 5:unconnected-(U6-A4-Pad5); 6:unconnected-(U6-NC-Pad6); 7:GND; 8:+3.3V; 9:unconnected-(U6-NC-Pad9)
#PWR0203,1,GND,DVB_Power:GND,141.605,116.84,90,,1:None
#PWR0204,1,+3.3V,DVB_Power:+3.3V,116.205,101.6,0,,1:None
C48,1,C_0040,DVB_C:C_0040,167.005,109.855,180,,1:GND; 2:AVDD
#PWR0192,1,GND,DVB_Power:GND,400.685,354.965,90,x,1:None
XO2,1,XO_0004,DVB_XO:XO_0004,358.775,99.695,0,,1:Net-(U2-PH0); 2:GND; 3:Net-(U2-PH1); 4:GND
R53,1,R_0020,DVB_R:R_0020,429.26,53.975,0,,1:+3.3V; 2:Net-(U2-PDR_ON)
#PWR0130,1,+3.3V,DVB_Power:+3.3V,429.26,50.165,0,,1:None
#PWR0233,1,GND,DVB_Power:GND,167.005,113.665,0,,1:None
#PWR0205,1,GND,DVB_Power:GND,391.795,36.83,0,,1:None
#PWR0206,1,GND,DVB_Power:GND,398.145,36.83,0,,1:None
#PWR0207,1,GND,DVB_Power:GND,404.495,36.83,0,,1:None
#PWR0208,1,GND,DVB_Power:GND,410.845,36.83,0,,1:None
#PWR0209,1,GND,DVB_Power:GND,417.195,36.83,0,,1:None
#PWR0210,1,GND,DVB_Power:GND,423.545,36.83,0,,1:None
#PWR0211,1,GND,DVB_Power:GND,429.895,36.83,0,,1:None
#PWR0212,1,GND,DVB_Power:GND,442.595,36.83,0,,1:None
#PWR0213,1,GND,DVB_Power:GND,436.245,36.83,0,,1:None
#PWR0214,1,GND,DVB_Power:GND,448.945,36.83,0,,1:None
#PWR07,1,+3.3V,DVB_Power:+3.3V,26.67,189.865,0,,1:None
#PWR0215,1,GND,DVB_Power:GND,464.82,36.83,0,,1:None
#PWR0216,1,GND,DVB_Power:GND,471.17,36.83,0,,1:None
#PWR0218,1,GND,DVB_Power:GND,512.445,36.83,0,,1:None
#PWR0219,1,GND,DVB_Power:GND,490.22,46.99,0,,1:None
#PWR0126,1,+3.3V,DVB_Power:+3.3V,443.23,57.785,0,,1:None
#PWR0220,1,GND,DVB_Power:GND,374.015,84.455,0,y,1:None
#PWR0221,1,GND,DVB_Power:GND,380.365,84.455,0,y,1:None
#PWR0222,1,GND,DVB_Power:GND,386.715,84.455,0,y,1:None
#PWR0223,1,GND,DVB_Power:GND,393.065,84.455,0,y,1:None
#PWR0172,1,GND,DVB_Power:GND,115.57,346.075,0,,1:None
#PWR0170,1,+3.3V,DVB_Power:+3.3V,60.325,74.295,270,,1:None
#PWR0144,1,GND,DVB_Power:GND,365.125,319.405,270,x,1:None
C35,1,C_0040,DVB_C:C_0040,114.935,297.18,180,,1:GND; 2:+3.3V
#PWR0176,1,GND,DVB_Power:GND,114.935,300.99,0,,1:None
#FLG0102,1,P_FLG,DVB_Power:P_FLG,114.935,293.37,270,,1:None
#PWR0177,1,+3.3V,DVB_Power:+3.3V,114.935,293.37,0,,1:None
U5,1,U_0081,DVB_U:U_0081,59.69,342.265,0,,1:Net-(C14-Pad1); 2:Net-(C14-Pad1); 3:Net-(U5-ADJ); 4:GND; 5:Net-(U5-EN); 6:unconnected-(U5-NC-Pad6); 7:Net-(U5-EN); 8:Net-(U5-EN); 9:GND
#PWR0131,1,VREF+,DVB_Power:VREF+,115.57,338.455,0,,1:None
R9,1,R_0102,DVB_R:R_0102,81.28,342.265,0,,1:Net-(C14-Pad1); 2:Net-(U5-ADJ)
C38,1,C_0002,DVB_C:C_0002,145.415,101.6,90,x,1:AVDD; 2:GND
#PWR0226,1,GND,DVB_Power:GND,149.225,101.6,90,,1:None
#PWR0184,1,+3.3V,DVB_Power:+3.3V,345.44,295.275,0,,1:None
#PWR0185,1,+3.3V,DVB_Power:+3.3V,297.18,368.935,0,,1:None
#PWR0186,1,GND,DVB_Power:GND,362.585,304.165,270,,1:None
#PWR0187,1,+15V,DVB_Power:+15V,357.505,309.245,0,,1:None
#FLG0104,1,P_FLG,DVB_Power:P_FLG,357.505,309.245,180,,1:None
R6,1,R_0121,DVB_R:R_0121,81.28,349.885,0,,1:Net-(U5-ADJ); 2:GND
#PWR0132,1,GND,DVB_Power:GND,71.12,346.075,90,,1:None
#PWR0227,1,GND,DVB_Power:GND,108.585,101.6,270,,1:None
C18,1,C_0044,DVB_C:C_0044,64.135,125.73,90,,1:Net-(K1-VP); 2:GND
#PWR0133,1,GND,DVB_Power:GND,81.28,353.695,0,,1:None
C15,1,C_0044,DVB_C:C_0044,64.135,109.855,90,,1:Net-(K1-VLOGIC); 2:GND
C81,1,C_0044,DVB_C:C_0044,483.87,43.18,180,,1:GND; 2:Net-(U2-VDDA)
C89,1,C_0002,DVB_C:C_0002,83.82,288.29,0,y,1:Net-(U4-BST); 2:Net-(C89-Pad2)
L4,1,L_0002,DVB_L:L_0002,87.63,293.37,0,,1:Net-(C89-Pad2); 2:+3.3V
#PWR0228,1,+3.3V,DVB_Power:+3.3V,116.205,116.84,90,,1:None
C29,1,C_0002,DVB_C:C_0002,112.395,101.6,270,,1:+3.3V; 2:GND
R49,1,R_0053,DVB_R:R_0053,361.315,360.045,270,,1:Net-(J2-RLED-); 2:GND
#PWR0146,1,GND,DVB_Power:GND,356.87,360.045,270,x,1:None
#PWR0188,1,+3.3V,DVB_Power:+3.3V,176.53,317.5,0,,1:None
C88,1,C_0044,DVB_C:C_0044,43.815,306.07,180,,1:GND; 2:Net-(U4-INTVcc)
C83,1,C_0044,DVB_C:C_0044,499.745,33.02,180,,1:GND; 2:VERF+
C13,1,C_0044,DVB_C:C_0044,64.135,85.725,90,,1:+3.3V; 2:GND
R48,1,R_0053,DVB_R:R_0053,361.315,354.965,270,,1:Net-(J2-LLED-); 2:GND
#PWR0147,1,GND,DVB_Power:GND,356.87,354.965,270,x,1:None
K2,1,K_0072,DVB_K:K_0072,140.97,50.8,270,x,1:/CIS_VLED_B; 10:Net-(K2-Pin_10); 11:Net-(K2-Pin_11); 12:Net-(K2-Pin_12); 2:/CIS_VLED_R; 3:/CIS_VLED_G; 4:+5V; 5:Net-(K2-Pin_5); 6:GND; 7:/CIS_SP_TTL; 8:AVDD; 9:/CIS_RS_TTL
L5,1,L_0017,DVB_L:L_0017,349.25,60.325,90,,1:Net-(U2-VDDSMPS); 2:+3.3V
R23,1,R_0170,DVB_R:R_0170,164.465,61.595,0,,1:/CIS_VLED_R; 2:Net-(Q1-D)
R25,1,R_0171,DVB_R:R_0171,177.165,61.595,0,,1:/CIS_VLED_G; 2:Net-(Q2-D)
R44,1,R_0172,DVB_R:R_0172,189.865,61.595,0,,1:/CIS_VLED_B; 2:Net-(Q3-D)
#PWR0135,1,VREF+,DVB_Power:VREF+,499.745,29.21,0,,1:None
#PWR013,1,GND,DVB_Power:GND,62.865,308.61,0,,1:None
R3,1,R_0030,DVB_R:R_0030,57.785,312.42,0,,1:Net-(U4-RT); 2:GND
#PWR012,1,GND,DVB_Power:GND,57.785,316.23,0,,1:None
#PWR0189,1,GND,DVB_Power:GND,81.28,209.55,0,,1:None
#PWR0190,1,GND,DVB_Power:GND,73.66,205.74,90,,1:None
#PWR010,1,GND,DVB_Power:GND,43.815,309.88,0,,1:None
C20,1,C_0001,DVB_C:C_0001,37.465,306.07,180,,1:GND; 2:Net-(U4-TR/SS)
#PWR08,1,GND,DVB_Power:GND,37.465,309.88,0,,1:None
C9,1,C_0003,DVB_C:C_0003,26.67,342.265,0,x,1:GND; 2:Net-(U5-EN)
L6,1,L_0018,DVB_L:L_0018,367.665,73.025,90,,1:Net-(U2-VFBSMPS); 2:Net-(U2-VLXSMPS)
C82,1,C_0002,DVB_C:C_0002,490.22,43.18,0,y,1:Net-(U2-VDDA); 2:GND
